note_number,chapter,subject,status,source,image_url,local_path,width,height
19,Acte II,Traité soviéto-tchécoslovaque,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/UN_Treaty_Series_-_vol_971.pdf/page1-1050px-UN_Treaty_Series_-_vol_971.pdf.jpg,,,
20,Acte II,Gérard Filoche,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/G%C3%A9rard_Filoche_2010.jpg/1280px-G%C3%A9rard_Filoche_2010.jpg,iconographie/note_020_gerard-filoche.jpg,1280,852
21,Acte II,Nouveau Parti anticapitaliste,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/7III2023_NPA_1509511.jpg/1280px-7III2023_NPA_1509511.jpg,iconographie/note_021_nouveau-parti-anticapitaliste.jpg,1280,854
22,Acte II,Ca Rater Mallorquí,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Ca_rater_mallorqu%C3%AD.JPG/1280px-Ca_rater_mallorqu%C3%AD.JPG,iconographie/note_022_ca-rater-mallorqui.jpg,1280,960
23,Acte II,Dmitri Chostakovitch,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Dmitri_Shostakovich_credit_Deutsche_Fotothek_adjusted.jpg/1280px-Dmitri_Shostakovich_credit_Deutsche_Fotothek_adjusted.jpg,iconographie/note_023_dmitri-chostakovitch.jpg,1280,1786
24,Acte II,Abbé Pierre,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/75/ABBE_PIERRE-24x30-1999.jpg,iconographie/note_024_abbe-pierre.jpg,591,735
25,Acte II,Badia a Coltibuono,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Panoramica_coltibuono.jpg/1280px-Panoramica_coltibuono.jpg,iconographie/note_025_badia-a-coltibuono.jpg,1280,852
26,Acte II,Ordre de Vallombreuse,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/6/6d/Ordre_de_Vallombreuse.png,iconographie/note_026_ordre-de-vallombreuse.jpg,513,912
27,Acte II,Jack l'Éventreur,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/a/a1/JacktheRipper1888.jpg,iconographie/note_027_jack-l-eventreur.jpg,1175,1245
28,Acte II,ChatGPT,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/ChatGPT-Logo.svg/1280px-ChatGPT-Logo.svg.png,iconographie/note_028_chatgpt.jpg,1280,1280
29,Acte II,Elon Musk,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/f/f4/USAFA_Hosts_Elon_Musk_%28Image_1_of_17%29_%28cropped%29.jpg,iconographie/note_029_elon-musk.jpg,758,1010
30,Acte II,Donald Trump,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Donald_Trump_official_portrait.jpg/1280px-Donald_Trump_official_portrait.jpg,iconographie/note_030_donald-trump.jpg,1280,1621
31,Acte II,Vladimir Poutine,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Vladimir_Putin_-_2012.jpg/1280px-Vladimir_Putin_-_2012.jpg,iconographie/note_031_vladimir-poutine.jpg,1280,1839
32,Acte II,Jair Bolsonaro,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Jair_Bolsonaro_in_SignWriting.svg/1280px-Jair_Bolsonaro_in_SignWriting.svg.png,iconographie/note_032_jair-bolsonaro.jpg,1280,1825
33,Acte II,Giorgia Meloni,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/b/b6/Giorgia_Meloni_Official_2023_crop.jpg,iconographie/note_033_giorgia-meloni.jpg,869,1239
34,Acte II,Glock 17,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/e/e7/Glock_17-removebg-preview.png,iconographie/note_034_glock-17.jpg,613,407
35,Acte II,Éruption du Vésuve en 79,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Mt_Vesuvius_79_AD_eruption-la.svg/1280px-Mt_Vesuvius_79_AD_eruption-la.svg.png,iconographie/note_035_eruption-du-vesuve-en-79.jpg,1280,768
